scan1	scan2	scan3	scan4
294.0794	433.0833	789.4342	1230.4000
3018.3489	4924.2280	8752.7051	13704.4053
4794.2349	7337.3623	12788.6377	19801.1816
2454.4324	4040.5715	6780.0542	10180.8662
252.0000	467.0000	861.0000	1483.0000
507.2917	723.6000	1328.4482	1961.7455
617.1469	959.5714	1636.0743	2596.3188
430.0000	584.1667	907.2500	1461.5714
294.0000	458.0000	915.7500	1283.4000
361.3333	499.5454	825.3750	1263.5807
350.1250	526.1262	951.0425	1557.5309
1381.5743	2203.3354	3820.3623	5772.2534
352.0000	528.0000	1113.0000	1550.0000
2059.9194	3076.9597	5417.2026	7885.8560
1086.1689	1766.6846	3045.1477	4693.9380
1402.9731	2174.2432	3847.8853	6235.2876
639.3289	1013.9194	1725.3557	2723.0476
249.0000	355.0000	687.0000	976.0000
719.2721	1074.6165	1919.4041	3036.4263
706.0709	1115.7592	1919.0845	3176.9709
2485.7986	3942.6377	6900.5571	10532.2041
538.8851	813.7483	1462.5714	2264.7622
289.5000	332.0000	627.0000	1223.0000
4472.6577	7337.7114	12944.2754	19377.6621
1070.7731	1632.7316	2948.8069	4695.7046
682.7551	1063.9060	1892.9662	2948.7986
406.0000	613.0000	1176.0000	1804.5000
284.8571	407.9546	715.2800	1166.3928
477.0000	548.0000	1169.0000	1487.0000
501.5000	763.6250	1269.5927	2223.7778
497.0406	769.1791	1327.6000	2119.2620
888.1348	1399.5879	2419.5234	4008.6377
1243.3020	2004.2886	3353.4294	4956.7310
541.3953	752.8409	1437.1860	2262.4707
367.0000	534.0000	939.3333	1784.0000
1011.2819	1606.4497	2782.8054	4334.3062
375.0000	514.5000	879.6667	1480.1428
251.0000	339.0000	707.0000	861.0000
391.6129	575.0263	1013.6000	1640.0264
873.3490	1409.1544	2475.5974	3929.4229
286.0000	388.0000	777.0000	1226.0000
755.2877	1160.2925	2111.7874	3169.3940
4342.4028	6468.6777	11002.2354	16991.2754
505.9366	804.7063	1438.2214	2214.6536
197.0000	381.0000	587.0000	986.3333
616.1567	904.6345	1581.7007	2475.7463
481.1395	751.3088	1280.1250	1996.0909
401.4955	611.6336	1051.9708	1634.5840
368.9577	560.3759	972.3357	1553.7305
7603.8188	12098.6777	21411.3750	31877.0195
674.2000	1078.2136	1906.4952	2953.8491
287.0000	398.9000	753.1250	1214.6666
